flow_duration,upstream_volume,downstream_volume,num_packets_upstream,num_packets_downstream,upstream_packet_size_mean,upstream_packet_size_median,upstream_packet_size_std,upstream_packet_size_min,upstream_packet_size_max,upstream_packet_size_25th_percentile,upstream_packet_size_75th_percentile,upstream_packet_size_10th_percentile,upstream_packet_size_90th_percentile,downstream_packet_size_mean,downstream_packet_size_median,downstream_packet_size_std,downstream_packet_size_min,downstream_packet_size_max,downstream_packet_size_25th_percentile,downstream_packet_size_75th_percentile,downstream_packet_size_10th_percentile,downstream_packet_size_90th_percentile,upstream_interarrival_time_mean,upstream_interarrival_time_median,upstream_interarrival_time_std,upstream_interarrival_time_min,upstream_interarrival_time_max,upstream_interarrival_time_25th_percentile,upstream_interarrival_time_75th_percentile,upstream_interarrival_time_10th_percentile,upstream_interarrival_time_90th_percentile,downstream_interarrival_time_mean,downstream_interarrival_time_median,downstream_interarrival_time_std,downstream_interarrival_time_min,downstream_interarrival_time_max,downstream_interarrival_time_25th_percentile,downstream_interarrival_time_75th_percentile,downstream_interarrival_time_10th_percentile,downstream_interarrival_time_90th_percentile,label
10.295073000,1067408,473032,11371,7098,93.87107554304811,94.0,2.02180281164025,54,94,94.0,94.0,94.0,94.0,66.64299802761342,66.0,3.425434233829017,66,94,66.0,66.0,66.0,66.0,0.0009054593667546174,0.0004465,0.0038084996018308208,0E-9,0.284836000,0.00015600000,0.00118200000,0.00007000000000000000000000000000,0.002113000000000000000000000000,0.0014472100887699027,0.001061,0.004406632938835742,0E-9,0.252149000,0.000505000,0.001826000,0.0001700000000000000000000000000,0.002750000000000000000000000000,Wired
15.163575000,442278,167216,4719,2962,93.72282263191354,94.0,3.307776365701018,54,94,94.0,94.0,94.0,94.0,56.45374746792707,54.0,7.8570082080561034,54,94,54.0,54.0,54.0,66.0,0.0032139836795252227,0.0011129999999999998,0.006998607090793763,0E-9,0.166460000,0.00024625000,0.00327450000,0.0001600000000000000000000000000,0.006073800000000001091393642128,0.005116785545423844,0.002429,0.00851092989002054,0.000008000,0.108338000,0.001084000,0.005101000,0.000474000,0.011430000,Wired
10.214332000,1539378,610368,16389,11200,93.92751235584844,94.0,1.6952654979499995,54,94,94.0,94.0,94.0,94.0,54.497142857142855,54.0,3.955461349355141,54,94,54.0,54.0,54.0,54.0,0.000623281181352209,0.000375,0.000983239959141448,0E-9,0.033411000,0.00015800000,0.00091200000,0.00006500000000000000000000000000,0.001362000000000000000000000000,0.0009091286722028752,0.000751,0.0011311393297069117,0E-9,0.035933000,0.0003410000,0.0012175000,0.0001590000000000000000000000000,0.001693200000000000727595761418,Wired
12.502004000,601036,326160,11104,3486,54.127881844380404,54.0,2.155330108646601,54,94,54.0,54.0,54.0,54.0,93.56282271944923,94.0,4.134529055305474,54,94,94.0,94.0,94.0,94.0,0.0011260004503287398,0.0,0.015495320125282777,0E-9,0.528003000,0E-10,0E-10,0E-51,0.00003400000000000000000000000000,0.003587365566714491,0.000575,0.029555716664560177,0.000002000,0.632837000,0.000290000,0.000977000,0.0001490000000000000000000000000,0.001334599999999999909050529823,Wired
10.299074000,833096,294852,8877,5384,93.84882280049567,94.0,2.4317896174181555,54,94,94.0,94.0,94.0,94.0,54.76448736998514,54.0,5.176817276482628,54,94,54.0,54.0,54.0,54.0,0.0011603283010365028,0.000496,0.0018725667716508246,0E-9,0.038015000,0.00030575000,0.00098500000,0.0001500000,0.0046350000,0.0019121471298532415,0.000988,0.002322894934857353,0.000003000,0.041681000,0.0004990000,0.0019945000,0.0003362000000000000454747350886,0.005560200000000000727595761418,Wired
10.285123000,663302,236952,7075,4318,93.75293286219082,94.0,3.1265850182916535,54,94,94.0,94.0,94.0,94.0,54.875405280222324,54.0,5.758215531418406,54,94,54.0,54.0,54.0,54.0,0.001453930308170766,0.000477,0.0027161040311903632,0E-9,0.058581000,0.00021125000,0.00102775000,0.0001450000000000000000000000000,0.005227000000000000000000000000,0.0023824598100532775,0.000855,0.0034057543953512513,0.000002000,0.061468000,0.000484000,0.004723000,0.0002996000000000000227373675443,0.005957400000000000090949470177,Wired
10.571014000,6191854,1420848,90167,15118,68.67095500571162,54.0,16.332181489588717,54,94,54.0,90.0,54.0,90.0,93.98386029898134,94.0,0.773137595737616,54,94,94.0,94.0,94.0,94.0,0.00011723926979127387,0.0,0.0008732519788312068,0E-9,0.036222000,0E-11,0E-11,0E-10,0.0000230000,0.0006992774359992061,0.000908,0.0011764842244953674,0E-9,0.049364000,0.000198000,0.000950000,0.00005400000000000000000000000000,0.0009730000000000000000000000000,Wired
10.184641000,1805992,683800,19250,12582,93.81776623376624,94.0,2.690550689647352,54,94,94.0,94.0,94.0,94.0,54.347480527738036,54.0,3.7084857603642867,54,94,54.0,54.0,54.0,54.0,0.0005290997454413216,0.000326,0.0008581554037777035,0E-9,0.043885000,0.000157000,0.000838000,0.00007000000000000000000000000000,0.001185000000000000000000000000,0.0008064960654955886,0.00071,0.0010257488391443499,0E-9,0.045579000,0.000337000,0.001116000,0.000159000,0.001473000,Wired
10.240160000,669652,305456,7140,5590,93.78879551820728,94.0,2.8909658695632796,54,94,94.0,94.0,94.0,94.0,54.643291592128804,54.0,5.01931719229658,54,94,54.0,54.0,54.0,54.0,0.0014343969743661577,0.000179,0.003306951604356748,0E-9,0.045568000,0.0000700000,0.0005580000,0E-52,0.006036999999999999090505298227,0.0018252449454285204,0.000307,0.003878046593884094,0E-9,0.050935000,0.000121000,0.000753000,0.00004900000000000000000000000000,0.007540199999999997999111656100,Wired
0.325841000,1206,964,16,12,75.375,69.0,16.14465855941215,54,94,66.0,94.0,54.0,94.0,80.33333333333333,78.0,12.815710056115666,66,94,66.0,94.0,66.0,94.0,0.021722733333333334,0.005575,0.023543934428051333,0E-9,0.055398000,5.000E-7,0.0453505000,0E-61,0.05212799999999999850786025490,0.024729454545454544,0.00524,0.02718814555781117,0.000025000,0.062401000,0.0001270000,0.0506390000,0.000039000,0.055638000,Wired
10.968176000,110642,825044,2024,8780,54.66501976284585,54.0,5.066287409560148,54,94,54.0,54.0,54.0,54.0,93.96856492027335,94.0,1.0426230162775514,54,94,94.0,94.0,94.0,94.0,0.005421727632229362,0.004884,0.0033752740027928776,0E-9,0.053853000,0.0046955000,0.0064830000,0.0009686000000000003922195901396,0.009439000000000000000000000000,0.0012493605194213464,0.000902,0.0015691580163825969,0.000003000,0.051369000,0.0008790000,0.0009260000,0.0004770000000000000000000000000,0.002437000000000000000000000000,Wired
